Administratör/sekreteraryrken;Administration, ekonomi, juridik
Advokat;Administration, ekonomi, juridik
Agronomer;Naturbruk
Ambulanssjukvårdare;Hälso- och sjukvård
Anläggningsarbetare;Bygg och anläggning
Anläggningsdykare;Bygg och anläggning
Användbarhetsexpert;Data/IT
Apotekare;Hälso- och sjukvård
Apotekstekniker;Hälso- och sjukvård
Arbetsförmedlare;Administration, ekonomi, juridik
Arbetsmiljöingenjör;Säkerhetsarbete
Arbetsmiljöinspektör;Säkerhetsarbete
Arbetsterapeut;Hälso- och sjukvård
Arborist;Naturbruk
Arkeolog;Kultur, media, design
Arkitektyrken;Tekniskt arbete
Arkivarie;Kultur, media, design
Art director;Kultur, media, design
Audionom;Hälso- och sjukvård
Automationstekniker;Installation, drift, underhåll
Badmästare;Kropps- och skönhetsvård
Bagare;Hantverksyrken
Banktjänsteman;Försäljning, inköp, marknadsföring
Bantekniker/banarbetare;Bygg och anläggning
Barista;Hotell, restaurang, storhushåll
Barnmorska;Hälso- och sjukvård
Barnpassare/Au pair;Socialt arbete
Barnsjuksköterska;Hälso- och sjukvård
Barnskötare;Socialt arbete
Bartender;Hotell, restaurang, storhushåll
Begravningsentreprenör;Socialt arbete
Behandlingsassistent och socialpedagog;Socialt arbete
Beläggningsarbetare;Bygg och anläggning
Bergarbetare i gruva;Industriell tillverkning
Bergarbetare inom bygg och anläggning;Bygg och anläggning
Bergarbetare inom bygg och anläggning;Industriell tillverkning
Besiktningstekniker, bilprovning;Säkerhetsarbete
Betongarbetare;Bygg och anläggning
Bibliotekarie;Kultur, media, design
Bilbärgare;Transport
Bildingenjör;Kultur, media, design
Bildlärare;Pedagogiskt arbete
Bilförsäljare;Försäljning, inköp, marknadsföring
Billackerare;Installation, drift, underhåll
Bilmekaniker;Industriell tillverkning
Bilmekaniker;Installation, drift, underhåll
Bilrekonditionerare;Sanering och renhållning
Bilskadereparatör;Industriell tillverkning
Biologyrken;Naturvetenskapligt arbete
Biomedicinsk analytiker;Hälso- och sjukvård
Biomedicinsk analytiker;Naturvetenskapligt arbete
Biståndsbedömare;Socialt arbete
Bokbindare;Hantverksyrken
Bokbindare;Industriell tillverkning
Brandingenjör;Säkerhetsarbete
Brandman;Säkerhetsarbete
Brevbärare;Transport
Brunnsborrare;Industriell tillverkning
Budbilsförare;Transport
Bussförare;Transport
Byggnadsplåtslagare;Bygg och anläggning
Byggnadsplåtslagare;Industriell tillverkning
Båtbyggare;Hantverksyrken
Charkuterist;Industriell tillverkning
CNC-operatör;Industriell tillverkning
Controller;Administration, ekonomi, juridik
Copywriter;Kultur, media, design
Croupier;Hotell, restaurang, storhushåll
Curator;Kultur, media, design
Cykelbud;Transport
Cytodiagnostiker;Hälso- och sjukvård
Dansare;Kultur, media, design
Danspedagog;Pedagogiskt arbete
Databasadministratör;Data/IT
Dekoratör;Försäljning, inköp, marknadsföring
Dekoratör;Kultur, media, design
Demonstratör;Försäljning, inköp, marknadsföring
Designer inom mode och textil;Kultur, media, design
Diakon;Socialt arbete
Dietist;Hälso- och sjukvård
Discjockey;Kultur, media, design
Distributionselektriker;Installation, drift, underhåll
Distriktssköterska;Hälso- och sjukvård
Djursjukskötare;Hälso- och sjukvård
Djurskötare inom lantbruk;Naturbruk
Djurvårdare vid djurpark;Naturbruk
Domare;Administration, ekonomi, juridik
Dramapedagog;Pedagogiskt arbete
Driftingenjör;Tekniskt arbete
Driftledare;Naturbruk
Drifttekniker och supporttekniker inom IT;Data/IT
Drifttekniker;Installation, drift, underhåll
Däckmontör/Däck- och hjulmekaniker;Industriell tillverkning
Ekonomyrken;Administration, ekonomi, juridik
Elektriker;Installation, drift, underhåll
Elektronikreparatörer och servicetekniker;Installation, drift, underhåll
Elevassistent;Socialt arbete
Eltekniker/kontaktledningsmontör;Installation, drift, underhåll
Familjerådgivare;Socialt arbete
Farmakolog;Naturvetenskapligt arbete
Fartygsbefäl;Transport
Fastighetsförvaltare;Administration, ekonomi, juridik
Fastighetsmäklare;Försäljning, inköp, marknadsföring
Fastighetsyrken;Installation, drift, underhåll
Filmklippare/redigerare;Kultur, media, design
Finmekaniker;Hantverksyrken
Fiskare;Naturbruk
Fiskodlingsarbetare;Naturbruk
Florist;Försäljning, inköp, marknadsföring
Flygledare;Transport
Flygmekaniker och flygtekniker;Installation, drift, underhåll
Flygmekaniker och flygtekniker;Tekniskt arbete
Flygplansplåtslagare;Industriell tillverkning
Flygplatskontrollant;Säkerhetsarbete
Flygvärdinna/flygvärd;Transport
Folkhälsoplanerare;Hälso- och sjukvård
Fordonsmontör;Industriell tillverkning
Fordonsmontör;Installation, drift, underhåll
Forensiker;Säkerhetsarbete
Fotograf;Kultur, media, design
Fotterapeut;Kropps- och skönhetsvård
Fraktassistent inom flyget;Transport
Friskvårdskonsulent/Hälsopedagog;Kropps- och skönhetsvård
Friskvårdskonsulent/Hälsopedagog;Socialt arbete
Frisör;Kropps- och skönhetsvård
Fritidsledare;Socialt arbete
Fritidspedagog;Pedagogiskt arbete
Frivårdsinspektör;Socialt arbete
Fysiker;Naturvetenskapligt arbete
Föreningskonsulent;Administration, ekonomi, juridik
Företagssköterska;Hälso- och sjukvård
Företagssäljare;Försäljning, inköp, marknadsföring
Författare;Kultur, media, design
Förlagsredaktör;Kultur, media, design
Församlingspedagog;Socialt arbete
Förskollärare;Pedagogiskt arbete
Försäkringsförmedlare;Administration, ekonomi, juridik
Försäkringsyrken;Administration, ekonomi, juridik
Försäkringsyrken;Säkerhetsarbete
Geograf;Naturvetenskapligt arbete
Geovetaryrken;Naturvetenskapligt arbete
Gjuterioperatör;Industriell tillverkning
Glasarbetare;Hantverksyrken
Glastekniker/Glasmästare;Hantverksyrken
Golvläggare;Bygg och anläggning
Grafisk formgivare;Kultur, media, design
Grafisk produktionsledare;Industriell tillverkning
Gravör;Hantverksyrken
Grovarbetare;Bygg och anläggning
Grovplåtslagare;Industriell tillverkning
Grundskollärare;Pedagogiskt arbete
Gränskontrollant;Säkerhetsarbete
Grävmaskinförare;Bygg och anläggning
Guide;Försäljning, inköp, marknadsföring
Guldsmed och silversmed;Hantverksyrken
Gymnasielärare i allmänna ämnen;Pedagogiskt arbete
Gymnasielärare i yrkesämnen;Pedagogiskt arbete
Hamnarbetare;Transport
Hantverkspedagog;Socialt arbete
Hem- och konsumentkunskapslärare;Pedagogiskt arbete
Hemslöjdskonsulent;Pedagogiskt arbete
Hissmontör/hisstekniker;Installation, drift, underhåll
Hjälpmedelstekniker;Hantverksyrken
Hortonom;Naturbruk
Hotellreceptionist;Hotell, restaurang, storhushåll
Hovmästare;Hotell, restaurang, storhushåll
Hovslagare;Hantverksyrken
Hudterapeut;Kropps- och skönhetsvård
Husdjurstekniker;Naturbruk
Husfru;Hotell, restaurang, storhushåll
Hydrolog;Naturvetenskapligt arbete
Hyveloperatör;Industriell tillverkning
Håltagare;Bygg och anläggning
Hästskötare;Naturbruk
Idrottslärare;Pedagogiskt arbete
Idrottstränare;Pedagogiskt arbete
Illustratör;Kultur, media, design
Industridesigner;Kultur, media, design
Industrilackerare;Installation, drift, underhåll
Informatör/kommunikatör;Kultur, media, design
Ingenjörsyrken;Bygg och anläggning
Ingenjörsyrken;Data/IT
Ingenjörsyrken;Tekniskt arbete
Inkassohandläggare;Administration, ekonomi, juridik
Inköpare;Försäljning, inköp, marknadsföring
Inredningsarkitekt;Tekniskt arbete
Inredningssnickare;Bygg och anläggning
Inredningssnickare;Industriell tillverkning
Inspicient;Kultur, media, design
Isoleringsmontör;Bygg och anläggning
IT-arkitekter;Data/IT
IT-strateg;Data/IT
Journalist;Kultur, media, design
Juristyrken;Administration, ekonomi, juridik
Kallskänka;Hotell, restaurang, storhushåll
Kemist;Naturvetenskapligt arbete
Kiropraktor;Hälso- och sjukvård
Kock;Hotell, restaurang, storhushåll
Konditor;Hantverksyrken
Konferensvärd;Hotell, restaurang, storhushåll
Konservator;Hantverksyrken
Konsthantverkare;Kultur, media, design
Konstnär;Kultur, media, design
Konsumentvägledare;Administration, ekonomi, juridik
Kostekonom;Hotell, restaurang, storhushåll
Kranförare;Bygg och anläggning
Kriminalvårdare;Socialt arbete
Kronofogde;Administration, ekonomi, juridik
Kronoinspektör;Administration, ekonomi, juridik
Kundmottagare/verkmästare på bilverkstad;Försäljning, inköp, marknadsföring
Kundtjänsteman på försäkringsbolag;Administration, ekonomi, juridik
Kundtjänstmedarbetare;Administration, ekonomi, juridik
Kundtjänstmedarbetare;Försäljning, inköp, marknadsföring
Kurator;Hälso- och sjukvård
Kurator;Socialt arbete
Kustbevakningstjänsteman;Säkerhetsarbete
Kyl- och värmepumptekniker;Bygg och anläggning
Kyl- och värmepumptekniker;Installation, drift, underhåll
Kyrkomusiker;Kultur, media, design
Kyrkvaktmästare;Installation, drift, underhåll
Köks- och restaurangbiträden;Hotell, restaurang, storhushåll
Körsnär;Hantverksyrken
Lagerarbetare;Transport
Landskapsarkitekt;Tekniskt arbete
Landskapsingenjör;Naturbruk
Lantbrukare;Naturbruk
Lantbruksrådgivare;Naturbruk
Lantmätare;Tekniskt arbete
Lastbils- och maskinmekaniker;Installation, drift, underhåll
Lastbilsförare;Transport
Lastmaskinförare;Bygg och anläggning
Ljudtekniker;Kultur, media, design
Ljussättare och ljustekniker inom scen och media;Kultur, media, design
Logistiker;Administration, ekonomi, juridik
Logistiker;Tekniskt arbete
Logoped;Hälso- och sjukvård
Lokförare;Transport
Lots;Transport
Låssmed;Hantverksyrken
Låssmed;Installation, drift, underhåll
Läkare;Hälso- och sjukvård
Läkemedelskonsulent;Försäljning, inköp, marknadsföring
Läraryrken;Pedagogiskt arbete
Löne- och personalassistenter;Administration, ekonomi, juridik
Marknadsassistent;Försäljning, inköp, marknadsföring
Marknadsförare;Försäljning, inköp, marknadsföring
Maskinbefäl;Transport
Maskinförare inom lantbruk;Naturbruk
Maskinmontör;Installation, drift, underhåll
Maskinoperatörsyrken;Industriell tillverkning
Maskinreparatör/Underhållstekniker;Installation, drift, underhåll
Maskör;Kropps- och skönhetsvård
Maskör;Kultur, media, design
Massör;Kropps- och skönhetsvård
Matros;Transport
Medicinsk sekreterare;Administration, ekonomi, juridik
Medicinsk sekreterare;Hälso- och sjukvård
Medicinteknisk ingenjör;Tekniskt arbete
Meteorolog;Naturvetenskapligt arbete
Miljö - och hälsoskyddsinspektör;Naturvetenskapligt arbete
Miljövårdsyrken;Naturvetenskapligt arbete
Miljövårdsyrken;Sanering och renhållning
Modell och mannekäng;Kultur, media, design
Modellsnickare;Hantverksyrken
Modersmålslärare;Pedagogiskt arbete
Modist;Hantverksyrken
Montör, el-och teleutrustning;Industriell tillverkning
Motorman/Befaren maskinpersonal;Transport
Murare;Bygg och anläggning
Museitjänsteman;Kultur, media, design
Musiker;Kultur, media, design
Musiklärare;Pedagogiskt arbete
Målare;Bygg och anläggning
Mätningsingenjör;Tekniskt arbete
Möbelsnickare;Hantverksyrken
Nagelterapeut;Kropps- och skönhetsvård
Naprapat;Hälso- och sjukvård
Nationalekonom;Administration, ekonomi, juridik
Nutritionist;Hälso- och sjukvård
Nätverkstekniker;Data/IT
Obduktionstekniker;Hälso- och sjukvård
Oceanograf;Naturvetenskapligt arbete
Officersyrken;Militärt arbete
Ombudsman;Administration, ekonomi, juridik
Onkologisjuksköterska;Hälso- och sjukvård
Operationssjuksköterska;Hälso- och sjukvård
Optiker;Hälso- och sjukvård
Orgelbyggare;Hantverksyrken
Originalare;Kultur, media, design
Ortopedingenjör;Tekniskt arbete
Parkarbetare;Naturbruk
Parkeringsvakt;Säkerhetsarbete
Personalspecialist;Administration, ekonomi, juridik
Personlig assistent;Hälso- och sjukvård
Personlig assistent;Socialt arbete
Personligt ombud;Socialt arbete
Perukmakare;Kropps- och skönhetsvård
