0;Allmän utbildning
01;Bred, generell utbildning
010;Bred, generell utbildning
010a;Bred, generell utbildning, allmän inriktning
010b;Bred, generell utbildning, samhällsvetensk/humanistisk inriktning
010c;Bred, generell utbildning, naturvetenskaplig inriktning 
010x;Bred, generell utbildning, annan inriktning
08;Läs- och skrivinlärning för vuxna
080;Läs- och skrivinlärning för vuxna
080z;Läs- och skrivinlärning för vuxna 
09;Personlig utveckling
090;Personlig utveckling
090z;Personlig utveckling
1;Pedagogik och lärarutbildning
14;Pedagogik och lärarutbildning
140;Pedagogik och lärarutbildning, allmän utbildning
140z;Pedagogik och lärarutbildning, allmän utbildning
142;Pedagogik
142z;Pedagogik
143;Lärarutbildning för förskola och fritidsverksamhet
143a;Lärarutbildning, inriktning förskola
143b;Lärarutbildning, inriktning fritidsverksamhet
143x;Annan lärarutbildning för förskola och fritidsverksamhet
144;Lärarutbildning för grundskolans lägre åldrar
144a;Lärarutbildning, grundskolans lägre åldrar, allmän ämnesinriktning
144b;Lärarutbildning, grundskolans lägre åldrar, matematik/no-ämnen
144c;Lärarutbildning, grundskolans lägre åldrar, svenska/so-ämnen
144x;Annan lärarutbildning för grundskolans lägre åldrar
145;Ämneslärarutbildning
145a;Ämneslärarutbildning, matematik/data/naturvetenskap
145b;Ämneslärarutbildning, historia/samhällsvetenskap/ekonomi 
145c;Ämneslärarutbildning, språk 
145d;Ämneslärarutbildning, ma/data/naturv – hist/samh/ek
145e;Ämneslärarutbildning, ma/data/naturv – språk
145f;Ämneslärarutbildning, hist/samh/ek  – språk 
145g;Ämneslärarutbildning, ma/data/naturv – prakt/estetiskt ämne
145h;Ämneslärarutbildning, hist/samh/ek – prakt/estetiskt ämne 
145i ;Ämneslärarutbildning, språk – prakt/estetiskt ämne
145x;Annan ämneslärarutbildning
146;Lärarutbildning i yrkesämne och praktiskt/estetiskt ämne
146a;Lärarutbildning, industri och hantverk
146b;Lärarutbildning, handel och administration
146c;Lärarutbildning, hotell och restaurang 
146d;Lärarutbildning, livsmedel och konditori
146e;Lärarutbildning, naturbruk
146f;Lärarutbildning, vård och omsorg
146g;Lärarutbildning, medieproduktion
146h;Lärarutbildning, musik
146i;Lärarutbildning, bild och formkonst
146j;Lärarutbildning, dans och teater
146k;Lärarutbildning, trä- och metallslöjd samt textilslöjd 
146l;Lärarutbildning, idrott och hälsa
146m;Lärarutbildning, hushållsvetenskap
146x;Lärarutbildning i annat yrkesämne eller praktiskt/estetiskt ämne
149;Pedagogik och lärarutbildning, övrig/ospec utbildning
149a;Specialpedagogutbildning
149b;Hemspråks-/modersmålslärarutbildning
149c;Skolledarutbildning
149x;Annan utbildning inom pedagogik och lärarutbildning 
2;Humaniora och konst
21;Konst och media
210;Konst och media, allmän utbildning
210z ;Konst och media, allmän utbildning
211;Bild- och formkonst
211a;Bild- och formkonstnärlig utbildning
211b;Konstvetenskap och konsthistoria
211x;Annan utbildning inom bild- och formkonst
212;Musik, dans och dramatik
212a;Musik
212b;Dans, teater och dramatik
212c;Musik-, dans-, film- och teatervetenskap/-historia
212x;Annan utbildning inom musik, dans och dramatik
213;Medieproduktion
213a;Medieproduktion, allmän utbildning
213b;Film-, radio- och TV-produktion
213c;Grafisk teknik och bokbinderi
213d;Illustration, reklam, grafisk formgivning och foto
213x;Annan utbildning inom medieproduktion
214;Formgivning
214a;Modedesign
214b;Inredningsdesign
214c;Industri- och produktdesign
214x;Annan utbildning inom formgivning
215;Konsthantverk
215z;Konsthantverk
219;Konst och media, övrig/ ospec utbildning
219z;Konst och media, övrig/ospecificerad utbildning
22;Humaniora
220;Humaniora, allmän inriktning
220z;Humaniora, allmän inriktning
221;Religion
221a;Teologie kandidatutbildning
221b;Pastors-, missionärs- och diakonutbildning
221x;Annan utbildning i religion
222;Främmande språk
222a;Allmän språkkunskap och allmänt språkliga utbildningar
222b;Engelska
222c;Tyska
222d;Franska
222e;Spanska
222f;Ryska
222g;Svenska som främmande språk
222x;Annan utbildning i främmande språk
223;Svenska och litteraturvetenskap
223a;Svenska / nordiska språk
223b;Andra modersmål och teckenspråk
223c;Litteraturvetenskap och litteraturhistoria
223x;Annan utbildning i svenska och litteraturvetenskap
225;Historia och arkeologi
225a;Historia 
225b;Arkeologi
225c;Kulturvård, kulturadministration och museivetenskap
225x;Annan utbildning inom historia och arkeologi
226;Filosofi och logik
226z;Filosofi och logik
229;Humaniora, övrig/ospec inriktning
229z;Humaniora, övrig/ospecificerad inriktning
3;Samhällsvetenskap, juridik, handel, administration
31;Samhälls- och beteendevetenskap
310;Samhälls- och beteendevetenskap, allmän inriktning
310a;Beteendevetenskap, allmän utbildning
310b;Samhällsvetenskap, allmän utbildning
310x;Annan bred utbildning i samhälls- och beteendevetenskap
311;Psykologi
311a;Psykologutbildning 
311b;Psykologutbildning, inklusive fullgjord praktiktjänstgöring (PTP)
311c;Psykoterapeututbildning
311x;Annan utbildning i psykologi
312;Sociologi, etnologi och kulturgeografi
312a;Sociologi
312b;Socialantropologi och etnologi
312c;Kultur- och samhällsgeografi
312x;Annan utbildning i sociologi, etnologi och kulturgeografi
313;Statsvetenskap
313z;Statsvetenskap
314;Nationalekonomi och ekonomisk historia
314z;Nationalekonomi och ekonomisk historia
319;Samhälls- och beteende vetenskap, övrig/ospec inriktning
319z;Samhälls- och beteendevetenskap, övrig/ospec inriktning
32;Journalistik och information
320;Journalistik och information, allmän utbildning
320z;Journalistik och information, allmän utbildning
321;Journalistik och medievetenskap
321a;Journalistik
321b;Medie- och kommunikationsvetenskap
321x;Annan utbildning i journalistik och medievetenskap
322;Biblioteks- och dokumentationsvetenskap 
322a;Bibliotekarieutbildning / biblioteks- och informationsvetenskap
322b;Dokumentations- och informationsvetenskap
322x;Annan utbildning i biblioteks- och dokumentationsvetenskap
329;Journalistik och information, övrig/ospec utbildning
329z;Journalistik och information, övrig/ospec utbildning
34;Företagsekonomi, handel och administration
340;Företagsekonomi, handel, administration, allmän utb.
340a;Ekonomutbildning / företagsekonomi 
340b;Handel och administration
340x;Annan bred utbildning i företagsekonomi, handel och administration
341;Inköp, försäljning och distribution
341z;Inköp, försäljning och distribution
342;Marknadsföring
342z;Marknadsföring
343;Bank, försäkring och finansiering
343z;Bank, försäkring och finansiering
344;Redovisning och beskattning
344z;Redovisning och beskattning
345;Ledning och administration
345a;Ledarskap, organisation och styrning
345b;Administration och förvaltning
345c;Personaladministration
345x;Annan utbildning i ledning och administration
346;Kontorsservice och sekreterartjänster
346a;Läkarsekreterarutbildning
346x;Annan utbildning i kontorsservice och sekreterartjänster
347;Arbetsplatsrelaterad utbildning
347z;Arbetsplatsrelaterad utbildning
349;Företagsekonomi, handel, administration, övrig/ospec utb.
349z;Företagsekonomi, handel, administration, övrig/ospec utbildning
38;Juridik och rättsvetenskap
380;Juridik och rättsvetenskap
380a;Juristutbildning (juris kand / motsvarande)
380b;Juristutbildning inkl fullgjord tingsmeritering
380x;Annan utbildning i juridik och rättsvetenskap
4;Naturvetenskap, matematik och data
42;Biologi och miljövetenskap
420;Biologi och miljövetenskap, allmän utbildning
420z;Biologi och miljövetenskap, allmän utbildning
421;Biologi och biokemi
